GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
310M300US27980,27980,"Kahului-Wailuku-Lahaina, HI Metro Area",72743,1651
310M300US28020,28020,"Kalamazoo-Portage, MI Metro Area",51319,864
310M300US28100,28100,"Kankakee, IL Metro Area",56542,1415
310M300US28140,28140,"Kansas City, MO-KS Metro Area",61479,350
310M300US28420,28420,"Kennewick-Richland, WA Metro Area",61999,1063
310M300US28660,28660,"Killeen-Temple, TX Metro Area",52353,801
310M300US28700,28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",41558,720
310M300US28740,28740,"Kingston, NY Metro Area",61652,1401
310M300US28940,28940,"Knoxville, TN Metro Area",49820,579
310M300US29020,29020,"Kokomo, IN Metro Area",47958,1663
310M300US29100,29100,"La Crosse-Onalaska, WI-MN Metro Area",54574,1199
310M300US29180,29180,"Lafayette, LA Metro Area",49514,994
310M300US29200,29200,"Lafayette-West Lafayette, IN Metro Area",50795,856
310M300US29340,29340,"Lake Charles, LA Metro Area",48481,1310
310M300US29420,29420,"Lake Havasu City-Kingman, AZ Metro Area",41567,796
310M300US29460,29460,"Lakeland-Winter Haven, FL Metro Area",45988,753
310M300US29540,29540,"Lancaster, PA Metro Area",61492,650
310M300US29620,29620,"Lansing-East Lansing, MI Metro Area",53710,760
310M300US29700,29700,"Laredo, TX Metro Area",40442,1234
310M300US29740,29740,"Las Cruces, NM Metro Area",39114,1347
310M300US29820,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",54882,434
310M300US29940,29940,"Lawrence, KS Metro Area",54370,1728
310M300US30020,30020,"Lawton, OK Metro Area",49608,1549
310M300US30140,30140,"Lebanon, PA Metro Area",57698,1688
310M300US30300,30300,"Lewiston, ID-WA Metro Area",50760,1439
310M300US30340,30340,"Lewiston-Auburn, ME Metro Area",49538,1293
310M300US30460,30460,"Lexington-Fayette, KY Metro Area",54436,955
310M300US30620,30620,"Lima, OH Metro Area",47905,1708
310M300US30700,30700,"Lincoln, NE Metro Area",56132,922
310M300US30780,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",51362,718
310M300US30860,30860,"Logan, UT-ID Metro Area",53548,1290
310M300US30980,30980,"Longview, TX Metro Area",48359,1224
310M300US31020,31020,"Longview, WA Metro Area",49804,1607
310M300US31080,31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",65331,290
310M300US31140,31140,"Louisville/Jefferson County, KY-IN Metro Area",54624,451
310M300US31180,31180,"Lubbock, TX Metro Area",48709,1107
310M300US31340,31340,"Lynchburg, VA Metro Area",50711,877
310M300US31420,31420,"Macon-Bibb County, GA Metro Area",41171,1261
310M300US31460,31460,"Madera, CA Metro Area",48210,2108
310M300US31540,31540,"Madison, WI Metro Area",66609,596
310M300US31700,31700,"Manchester-Nashua, NH Metro Area",75777,1259
310M300US31740,31740,"Manhattan, KS Metro Area",51427,1627
310M300US31860,31860,"Mankato-North Mankato, MN Metro Area",56458,1490
310M300US31900,31900,"Mansfield, OH Metro Area",44138,1267
310M300US32580,32580,"McAllen-Edinburg-Mission, TX Metro Area",37097,803
310M300US32780,32780,"Medford, OR Metro Area",48688,1163
310M300US32820,32820,"Memphis, TN-MS-AR Metro Area",50194,394
310M300US32900,32900,"Merced, CA Metro Area",46338,1301
310M300US33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",51758,246
310M300US33140,33140,"Michigan City-La Porte, IN Metro Area",49921,1962
310M300US33220,33220,"Midland, MI Metro Area",57117,1948
310M300US33260,33260,"Midland, TX Metro Area",75570,3376
310M300US33340,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",57531,426
310M300US33460,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",73735,375
310M300US33540,33540,"Missoula, MT Metro Area",49412,1947
310M300US33660,33660,"Mobile, AL Metro Area",45802,1034
310M300US33700,33700,"Modesto, CA Metro Area",54260,976
310M300US33740,33740,"Monroe, LA Metro Area",39904,1152
310M300US33780,33780,"Monroe, MI Metro Area",59479,1498
310M300US33860,33860,"Montgomery, AL Metro Area",49089,911
310M300US34060,34060,"Morgantown, WV Metro Area",48622,1628
310M300US34100,34100,"Morristown, TN Metro Area",43683,1828
310M300US34580,34580,"Mount Vernon-Anacortes, WA Metro Area",59263,1403
310M300US34620,34620,"Muncie, IN Metro Area",41208,1503
310M300US34740,34740,"Muskegon, MI Metro Area",46077,806
310M300US34820,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",47732,870
310M300US34900,34900,"Napa, CA Metro Area",79637,1895
310M300US34940,34940,"Naples-Immokalee-Marco Island, FL Metro Area",62407,1257
310M300US34980,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",59365,465
310M300US35100,35100,"New Bern, NC Metro Area",48041,1319
310M300US35300,35300,"New Haven-Milford, CT Metro Area",64872,827
310M300US35380,35380,"New Orleans-Metairie, LA Metro Area",50154,490
310M300US35620,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",72205,305
310M300US35660,35660,"Niles-Benton Harbor, MI Metro Area",47132,1298
310M300US35840,35840,"North Port-Sarasota-Bradenton, FL Metro Area",54473,778
310M300US35980,35980,"Norwich-New London, CT Metro Area",69411,1516
310M300US36100,36100,"Ocala, FL Metro Area",41964,878
310M300US36140,36140,"Ocean City, NJ Metro Area",62332,1965
310M300US36220,36220,"Odessa, TX Metro Area",59528,2471
310M300US36260,36260,"Ogden-Clearfield, UT Metro Area",68558,922
310M300US36420,36420,"Oklahoma City, OK Metro Area",54946,482
310M300US36500,36500,"Olympia-Tumwater, WA Metro Area",66113,1328
310M300US36540,36540,"Omaha-Council Bluffs, NE-IA Metro Area",62345,599
310M300US36740,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",52261,427
310M300US36780,36780,"Oshkosh-Neenah, WI Metro Area",55128,996
310M300US36980,36980,"Owensboro, KY Metro Area",48217,1564
310M300US37100,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",81972,983
310M300US37340,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",51536,616
310M300US37460,37460,"Panama City, FL Metro Area",49863,1599
310M300US37620,37620,"Parkersburg-Vienna, WV Metro Area",45066,1391
310M300US37860,37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",51926,763
310M300US37900,37900,"Peoria, IL Metro Area",57301,882
310M300US37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",66285,354
310M300US38060,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",57935,332
310M300US38220,38220,"Pine Bluff, AR Metro Area",38547,1227
310M300US38300,38300,"Pittsburgh, PA Metro Area",56073,381
310M300US38340,38340,"Pittsfield, MA Metro Area",55190,1350
310M300US38540,38540,"Pocatello, ID Metro Area",47390,1605
310M300US38860,38860,"Portland-South Portland, ME Metro Area",63992,886
310M300US38900,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",66657,589
310M300US38940,38940,"Port St. Lucie, FL Metro Area",50045,954
310M300US39140,39140,"Prescott, AZ Metro Area",48259,1287
310M300US39300,39300,"Providence-Warwick, RI-MA Metro Area",61536,534
310M300US39340,39340,"Provo-Orem, UT Metro Area",66742,811
310M300US39380,39380,"Pueblo, CO Metro Area",42386,1201
310M300US39460,39460,"Punta Gorda, FL Metro Area",46511,1143
310M300US39540,39540,"Racine, WI Metro Area",58334,1215
310M300US39580,39580,"Raleigh, NC Metro Area",68870,767
310M300US39660,39660,"Rapid City, SD Metro Area",52683,1429
310M300US39740,39740,"Reading, PA Metro Area",59580,931
310M300US39820,39820,"Redding, CA Metro Area",47258,1104
310M300US39900,39900,"Reno, NV Metro Area",58654,1129
310M300US40060,40060,"Richmond, VA Metro Area",63599,710
310M300US40140,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",59173,392
310M300US40220,40220,"Roanoke, VA Metro Area",52609,820
310M300US40340,40340,"Rochester, MN Metro Area",69003,1052
310M300US40380,40380,"Rochester, NY Metro Area",55256,582
310M300US40420,40420,"Rockford, IL Metro Area",52360,807
310M300US40580,40580,"Rocky Mount, NC Metro Area",41593,1370
310M300US40660,40660,"Rome, GA Metro Area",46096,2012
310M300US40900,40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",64407,544
310M300US40980,40980,"Saginaw, MI Metro Area",45034,1104
310M300US41060,41060,"St. Cloud, MN Metro Area",58335,1059
310M300US41100,41100,"St. George, UT Metro Area",55175,1757
310M300US41140,41140,"St. Joseph, MO-KS Metro Area",49568,1478
310M300US41180,41180,"St. Louis, MO-IL Metro Area",59046,490
310M300US41420,41420,"Salem, OR Metro Area",54304,814
310M300US41500,41500,"Salinas, CA Metro Area",63249,1209
310M300US41540,41540,"Salisbury, MD-DE Metro Area",56283,893
310M300US41620,41620,"Salt Lake City, UT Metro Area",67838,898
310M300US41660,41660,"San Angelo, TX Metro Area",49838,2146
310M300US41700,41700,"San Antonio-New Braunfels, TX Metro Area",56495,426
310M300US41740,41740,"San Diego-Carlsbad, CA Metro Area",70588,617
310M300US41860,41860,"San Francisco-Oakland-Hayward, CA Metro Area",92714,488
310M300US41940,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",105809,832
310M300US42020,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",67175,1720
310M300US42100,42100,"Santa Cruz-Watsonville, CA Metro Area",73663,1682
310M300US42140,42140,"Santa Fe, NM Metro Area",57945,1544
310M300US42200,42200,"Santa Maria-Santa Barbara, CA Metro Area",68023,1420
310M300US42220,42220,"Santa Rosa, CA Metro Area",71769,1046
310M300US42340,42340,"Savannah, GA Metro Area",55021,1189
310M300US42540,42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",49239,648
310M300US42660,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",77269,461
310M300US42680,42680,"Sebastian-Vero Beach, FL Metro Area",49009,1267
310M300US42700,42700,"Sebring, FL Metro Area",36374,1135
310M300US43100,43100,"Sheboygan, WI Metro Area",56114,1555
310M300US43300,43300,"Sherman-Denison, TX Metro Area",52683,2034
310M300US43340,43340,"Shreveport-Bossier City, LA Metro Area",42572,967
310M300US43420,43420,"Sierra Vista-Douglas, AZ Metro Area",47847,1539
310M300US43580,43580,"Sioux City, IA-NE-SD Metro Area",54474,1394
310M300US43620,43620,"Sioux Falls, SD Metro Area",62047,1106
310M300US43780,43780,"South Bend-Mishawaka, IN-MI Metro Area",48681,1053
310M300US43900,43900,"Spartanburg, SC Metro Area",46431,1060
310M300US44060,44060,"Spokane-Spokane Valley, WA Metro Area",51709,744
310M300US44100,44100,"Springfield, IL Metro Area",58956,1159
310M300US44140,44140,"Springfield, MA Metro Area",55306,1073
310M300US44180,44180,"Springfield, MO Metro Area",45326,671
310M300US44220,44220,"Springfield, OH Metro Area",46275,1248
